id,full_name_check_value,ssn_score,dob_score,n1_score,n2_score,n3_score,n4_score,n5_score,n6_score,n7_score,n8_score,n9_score,n10_score,n11_score,n12_score,n13_score,n14_score,ssn_match,dob_match,name_match,failure_explanation,last_name_check_value,verified
6333,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6334,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6335,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6336,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6337,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6338,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6339,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6340,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6341,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6342,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6343,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6344,1,300,263,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6345,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6346,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6347,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6348,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6349,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6350,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6351,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6352,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6353,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6354,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6355,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6356,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6357,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6358,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6359,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6360,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6361,0,300,300,118,238,99,238,118,238,99,238,230,216,211,211,211,211,1,1,1,,1,1
6362,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6363,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6364,1,300,263,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6365,1,300,263,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6366,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6367,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6368,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6369,0,300,300,210,196,210,175,210,196,210,175,180,172,153,172,153,172,1,1,0,NAME,0,0
6370,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6371,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6372,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6373,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6374,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6375,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6376,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6377,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6378,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6379,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6380,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6381,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6382,1,266,263,,,,,,,,,,,,,,,0,0,1,SSN DOB,1,0
6383,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6384,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6385,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6386,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6387,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6388,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6389,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6390,1,300,0,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6391,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6392,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6393,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6394,0,300,300,99,177,99,282,109,190,109,288,138,236,247,248,243,254,1,1,1,,1,1
6395,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6396,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6397,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6398,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6399,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6400,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6401,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6402,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6403,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6404,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6405,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6406,0,0,0,29,29,29,29,29,29,29,29,23,23,23,23,23,23,0,0,0,SSN DOB NAME,0,0
6407,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6408,1,300,263,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6409,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6410,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6411,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6412,1,266,0,,,,,,,,,,,,,,,0,0,1,SSN DOB,1,0
6413,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6414,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6415,1,300,163,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6416,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6417,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6418,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6419,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6420,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6421,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6422,0,300,300,173,179,173,264,173,179,173,264,171,253,217,263,217,263,1,1,1,,1,1
6423,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6424,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6425,1,300,0,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6426,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6427,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6428,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6429,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6430,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6431,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6432,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6433,1,300,263,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6434,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6435,0,300,300,153,205,115,205,167,220,132,220,179,179,181,181,202,202,1,1,1,,1,1
6436,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6437,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6438,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6439,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6440,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6441,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6442,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6443,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6444,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6445,0,300,300,146,233,146,233,146,233,146,233,222,222,221,221,221,221,1,1,1,,1,1
6446,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6447,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6448,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6449,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6450,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6451,1,300,0,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6452,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6453,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6454,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6455,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6456,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6457,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6458,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6459,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6460,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6461,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6462,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6463,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6464,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6465,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6466,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6467,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6468,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6469,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6470,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6471,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6472,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6473,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6474,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6475,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6476,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6477,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6478,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6479,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6480,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6481,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6482,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6483,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6484,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6485,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6486,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6487,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6488,1,266,300,,,,,,,,,,,,,,,0,1,1,SSN,1,0
6489,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6490,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6491,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6492,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6493,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6494,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6495,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6496,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6497,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6498,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6499,0,300,300,238,207,238,219,238,207,238,219,214,218,189,189,189,189,1,1,0,NAME,0,0
6500,0,300,300,65,150,65,125,65,150,65,125,146,121,154,176,154,176,1,1,1,,1,1
6501,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6502,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6503,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6504,1,266,300,,,,,,,,,,,,,,,0,1,1,SSN,1,0
6505,0,300,300,195,159,195,245,195,159,195,245,164,201,186,216,186,216,1,1,0,NAME,0,0
6506,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6507,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6508,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6509,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6510,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6511,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6512,1,300,0,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6513,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6514,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6515,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6516,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6517,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6518,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6519,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6520,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6521,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6522,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6523,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6524,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6525,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6526,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6527,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6528,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6529,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6530,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6531,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6532,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6533,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6534,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6535,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6536,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6537,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6538,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6539,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6540,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6541,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6542,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6543,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6544,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6545,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6546,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6547,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6548,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6549,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6550,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6551,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6552,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6553,0,300,300,211,150,178,267,138,106,108,210,146,162,200,233,180,182,1,1,1,,1,1
6554,1,300,0,,,,,,,,,,,,,,,1,0,1,DOB,1,0
6555,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6556,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6557,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6558,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6559,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6560,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6561,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6562,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6563,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6564,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6565,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6566,0,0,0,47,47,47,47,47,47,47,47,42,42,42,42,42,42,0,0,0,SSN DOB NAME,0,0
6567,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
6568,1,300,300,,,,,,,,,,,,,,,1,1,1,,1,1
